,report_date,country,pos_cases_tot,pos_cases_new,death_tot,death_new,pos_per_hunThou,new_cases,delta_new_cases,d_new_cases_pop
82,2020-01-03,senegal,0,0,0,0,0.0,0.0,0.0,0.0
83,2020-01-03,south africa,0,0,0,0,0.0,0.0,0.0,0.0
84,2020-01-03,togo,0,0,0,0,0.0,0.0,0.0,0.0
85,2020-01-03,uganda,0,0,0,0,0.0,0.0,0.0,0.0
86,2020-01-03,zambia,0,0,0,0,0.0,0.0,0.0,0.0
87,2020-01-03,zimbabwe,0,0,0,0,0.0,0.0,0.0,0.0
88,2020-01-04,angola,0,0,0,0,0.0,0.0,0.0,0.0
89,2020-01-04,benin,0,0,0,0,0.0,0.0,0.0,0.0
90,2020-01-04,botswana,0,0,0,0,0.0,0.0,0.0,0.0
91,2020-01-04,burkina faso,0,0,0,0,0.0,0.0,0.0,0.0
92,2020-01-04,cameroon,0,0,0,0,0.0,0.0,0.0,0.0
93,2020-01-04,cote divoire,0,0,0,0,0.0,0.0,0.0,0.0
94,2020-01-04,gabon,0,0,0,0,0.0,0.0,0.0,0.0
95,2020-01-04,ghana,0,0,0,0,0.0,0.0,0.0,0.0
96,2020-01-04,kenya,0,0,0,0,0.0,0.0,0.0,0.0
97,2020-01-04,mali,0,0,0,0,0.0,0.0,0.0,0.0
98,2020-01-04,mauritius,0,0,0,0,0.0,0.0,0.0,0.0
99,2020-01-04,mozambique,0,0,0,0,0.0,0.0,0.0,0.0
100,2020-01-04,namibia,0,0,0,0,0.0,0.0,0.0,0.0
101,2020-01-04,niger,0,0,0,0,0.0,0.0,0.0,0.0
102,2020-01-04,nigeria,0,0,0,0,0.0,0.0,0.0,0.0
103,2020-01-04,rwanda,0,0,0,0,0.0,0.0,0.0,0.0
104,2020-01-04,senegal,0,0,0,0,0.0,0.0,0.0,0.0
105,2020-01-04,south africa,0,0,0,0,0.0,0.0,0.0,0.0
106,2020-01-04,togo,0,0,0,0,0.0,0.0,0.0,0.0
107,2020-01-04,uganda,0,0,0,0,0.0,0.0,0.0,0.0
108,2020-01-04,zambia,0,0,0,0,0.0,0.0,0.0,0.0
109,2020-01-04,zimbabwe,0,0,0,0,0.0,0.0,0.0,0.0
110,2020-01-05,angola,0,0,0,0,0.0,0.0,0.0,0.0
111,2020-01-05,benin,0,0,0,0,0.0,0.0,0.0,0.0
112,2020-01-05,botswana,0,0,0,0,0.0,0.0,0.0,0.0
113,2020-01-05,burkina faso,0,0,0,0,0.0,0.0,0.0,0.0
114,2020-01-05,cameroon,0,0,0,0,0.0,0.0,0.0,0.0
115,2020-01-05,cote divoire,0,0,0,0,0.0,0.0,0.0,0.0
116,2020-01-05,gabon,0,0,0,0,0.0,0.0,0.0,0.0
117,2020-01-05,ghana,0,0,0,0,0.0,0.0,0.0,0.0
118,2020-01-05,kenya,0,0,0,0,0.0,0.0,0.0,0.0
119,2020-01-05,mali,0,0,0,0,0.0,0.0,0.0,0.0
120,2020-01-05,mauritius,0,0,0,0,0.0,0.0,0.0,0.0
121,2020-01-05,mozambique,0,0,0,0,0.0,0.0,0.0,0.0
122,2020-01-05,namibia,0,0,0,0,0.0,0.0,0.0,0.0
123,2020-01-05,niger,0,0,0,0,0.0,0.0,0.0,0.0
124,2020-01-05,nigeria,0,0,0,0,0.0,0.0,0.0,0.0
125,2020-01-05,rwanda,0,0,0,0,0.0,0.0,0.0,0.0
126,2020-01-05,senegal,0,0,0,0,0.0,0.0,0.0,0.0
127,2020-01-05,south africa,0,0,0,0,0.0,0.0,0.0,0.0
128,2020-01-05,togo,0,0,0,0,0.0,0.0,0.0,0.0
129,2020-01-05,uganda,0,0,0,0,0.0,0.0,0.0,0.0
130,2020-01-05,zambia,0,0,0,0,0.0,0.0,0.0,0.0
131,2020-01-05,zimbabwe,0,0,0,0,0.0,0.0,0.0,0.0
132,2020-01-06,angola,0,0,0,0,0.0,0.0,0.0,0.0
133,2020-01-06,benin,0,0,0,0,0.0,0.0,0.0,0.0
134,2020-01-06,botswana,0,0,0,0,0.0,0.0,0.0,0.0
135,2020-01-06,burkina faso,0,0,0,0,0.0,0.0,0.0,0.0
136,2020-01-06,cameroon,0,0,0,0,0.0,0.0,0.0,0.0
137,2020-01-06,cote divoire,0,0,0,0,0.0,0.0,0.0,0.0
138,2020-01-06,gabon,0,0,0,0,0.0,0.0,0.0,0.0
139,2020-01-06,ghana,0,0,0,0,0.0,0.0,0.0,0.0
140,2020-01-06,kenya,0,0,0,0,0.0,0.0,0.0,0.0
141,2020-01-06,mali,0,0,0,0,0.0,0.0,0.0,0.0
142,2020-01-06,mauritius,0,0,0,0,0.0,0.0,0.0,0.0
143,2020-01-06,mozambique,0,0,0,0,0.0,0.0,0.0,0.0
144,2020-01-06,namibia,0,0,0,0,0.0,0.0,0.0,0.0
145,2020-01-06,niger,0,0,0,0,0.0,0.0,0.0,0.0
146,2020-01-06,nigeria,0,0,0,0,0.0,0.0,0.0,0.0
147,2020-01-06,rwanda,0,0,0,0,0.0,0.0,0.0,0.0
148,2020-01-06,senegal,0,0,0,0,0.0,0.0,0.0,0.0
149,2020-01-06,south africa,0,0,0,0,0.0,0.0,0.0,0.0
150,2020-01-06,togo,0,0,0,0,0.0,0.0,0.0,0.0
151,2020-01-06,uganda,0,0,0,0,0.0,0.0,0.0,0.0
152,2020-01-06,zambia,0,0,0,0,0.0,0.0,0.0,0.0
153,2020-01-06,zimbabwe,0,0,0,0,0.0,0.0,0.0,0.0
154,2020-01-07,angola,0,0,0,0,0.0,0.0,0.0,0.0
155,2020-01-07,benin,0,0,0,0,0.0,0.0,0.0,0.0
156,2020-01-07,botswana,0,0,0,0,0.0,0.0,0.0,0.0
157,2020-01-07,burkina faso,0,0,0,0,0.0,0.0,0.0,0.0
158,2020-01-07,cameroon,0,0,0,0,0.0,0.0,0.0,0.0
159,2020-01-07,cote divoire,0,0,0,0,0.0,0.0,0.0,0.0
160,2020-01-07,gabon,0,0,0,0,0.0,0.0,0.0,0.0
161,2020-01-07,ghana,0,0,0,0,0.0,0.0,0.0,0.0
